iter	RMSE
0	50.50586419
1	49.63814209
2	48.8384827
3	48.10090069
4	47.3968857
5	46.72511684
6	46.1580852
7	45.58262763
8	45.07948932
9	44.56803487
10	44.10391796
11	43.6545201
12	43.27917195
13	42.92429352
14	42.53569666
15	42.18848453
16	41.86237245
17	41.57875512
18	41.31255793
19	41.05025227
20	40.85057946
21	40.61936987
22	40.46802291
23	40.26566962
24	40.11126786
25	39.92259548
26	39.76830969
27	39.62336844
28	39.4807716
29	39.34531411
30	39.23777335
31	39.15568267
32	39.05550285
33	38.97600305
34	38.8841091
35	38.78618947
36	38.68644147
37	38.57868788
38	38.49216118
39	38.397375
40	38.31429433
41	38.24453548
42	38.19325445
43	38.13483206
44	38.05590966
45	37.97944902
46	37.90841276
47	37.85282323
48	37.79845286
49	37.75015692
50	37.69234326
51	37.64453284
52	37.59939149
53	37.5703594
54	37.53335358
55	37.49863568
56	37.4646866
57	37.42580034
58	37.38209069
59	37.34502002
60	37.31978546
61	37.28886548
62	37.25749881
63	37.23141092
64	37.19798499
65	37.17087619
66	37.14727598
67	37.11669712
68	37.07844029
69	37.03639695
70	37.00477508
71	36.97469189
72	36.93205539
73	36.91015406
74	36.89114789
75	36.87615103
76	36.84622485
77	36.82228447
78	36.79930658
79	36.7792838
80	36.74345445
81	36.70332299
82	36.68003725
83	36.63654636
84	36.61776302
85	36.58933382
86	36.55023585
87	36.53504492
88	36.52010826
89	36.50492847
90	36.47864014
91	36.44026949
92	36.42480023
93	36.40775972
94	36.38972971
95	36.37650136
96	36.36170231
97	36.3314946
98	36.30678741
99	36.28538744
100	36.26301356
101	36.24892632
102	36.2243755
103	36.20725931
104	36.1990296
105	36.18070086
106	36.17268267
107	36.1629834
108	36.15056831
109	36.13479272
110	36.1019401
111	36.08316294
112	36.06069001
113	36.04447481
114	36.03071689
115	36.02232006
116	35.99834234
117	35.98820386
118	35.95608985
119	35.93038289
120	35.91301409
121	35.90521121
122	35.90336981
123	35.87060051
124	35.84737744
125	35.81745114
126	35.79766143
127	35.75768311
128	35.75017793
129	35.73079564
130	35.71829032
131	35.68854802
132	35.67865372
133	35.66014761
134	35.63871257
135	35.63419058
136	35.62728747
137	35.61341265
138	35.59041136
139	35.56596844
140	35.54180211
141	35.51682983
142	35.50839367
143	35.49342553
144	35.46867917
145	35.44841678
146	35.42915279
147	35.41246024
148	35.39441051
149	35.38771837
150	35.37386732
151	35.36599548
152	35.35418289
153	35.34811154
154	35.32219924
155	35.30282959
156	35.27036414
157	35.25439356
158	35.2203363
159	35.21083125
160	35.19039653
161	35.17651469
162	35.16009531
163	35.14416881
164	35.11089581
165	35.09270431
166	35.07923844
167	35.06478641
168	35.05660002
169	35.03133077
170	35.02549696
171	35.01770127
172	35.00751354
173	34.98207879
174	34.96297098
175	34.94699329
176	34.93053054
177	34.91768549
178	34.90795403
179	34.89478435
180	34.8787236
181	34.86823503
182	34.83487186
183	34.82307987
184	34.80113054
185	34.79259155
186	34.77573197
187	34.75024723
188	34.74625407
189	34.72591234
190	34.69232618
191	34.67655688
192	34.65152094
193	34.64134208
194	34.61769423
195	34.60926522
196	34.59176596
197	34.57997273
198	34.57534841
199	34.55669092
200	34.54433632
201	34.52426353
202	34.51601257
203	34.50326936
204	34.48617338
205	34.44679713
206	34.42556521
207	34.42283602
208	34.41729176
209	34.39996106
210	34.39743273
211	34.3719487
212	34.36891391
213	34.34109066
214	34.33170127
215	34.31337486
216	34.3097679
217	34.29116684
218	34.27438198
219	34.25673129
220	34.23654933
221	34.20668836
222	34.20040755
223	34.16565685
224	34.14712041
225	34.11828384
226	34.10386465
227	34.08490967
228	34.08188701
229	34.06450302
230	34.03186224
231	34.02948152
232	34.02638939
233	34.00952161
234	33.9982949
235	33.98477869
236	33.97018258
237	33.96764524
238	33.96529577
239	33.93949185
240	33.91499302
241	33.8976269
242	33.89077999
243	33.87385804
244	33.87104705
245	33.84631474
246	33.82018574
247	33.80421894
248	33.7893432
249	33.776296
250	33.75801845
251	33.74413628
252	33.74106446
253	33.73080925
254	33.71985309
255	33.69408194
256	33.67360015
257	33.67064883
258	33.66389059
259	33.66097213
260	33.6381416
261	33.62794473
262	33.62567639
263	33.60517299
264	33.59659815
265	33.58168612
266	33.56779915
267	33.5654693
268	33.56321504
269	33.55080401
270	33.54870461
271	33.54238869
272	33.52769914
273	33.51264836
274	33.48240111
275	33.46961175
276	33.46750438
277	33.4443826
278	33.42987122
279	33.4130534
280	33.39509756
281	33.39143521
282	33.38895573
283	33.37081026
284	33.33730871
285	33.33142795
286	33.31790941
287	33.30335961
288	33.29392997
289	33.29199706
290	33.27280207
291	33.25650526
292	33.23879084
293	33.23180111
294	33.22994716
295	33.2281611
296	33.21815322
297	33.20748765
298	33.19957515
299	33.19812069
300	33.18563383
301	33.17896624
302	33.17689059
303	33.15716778
304	33.15545269
305	33.12205385
306	33.10508674
307	33.09042747
308	33.08107092
309	33.0732128
310	33.06024758
311	33.05857469
312	33.0458459
313	33.01848041
314	33.01621623
315	33.01471516
316	33.00575979
