,Year,Lg,Champion,Runner-Up,Finals MVP,Unnamed: 5,Points,Rebounds,Assists,Win Shares
16,2005.0,NBA,San Antonio Spurs,Detroit Pistons,T. Duncan,,T. Duncan (542),T. Duncan (286),S. Nash (170),C. Billups (4.6)
17,2004.0,NBA,Detroit Pistons,Los Angeles Lakers,C. Billups,,K. Bryant (539),B. Wallace (328),C. Billups (136),S. O'Neal (3.9)
18,2003.0,NBA,San Antonio Spurs,New Jersey Nets,T. Duncan,,T. Duncan (593),T. Duncan (369),J. Kidd (163),T. Duncan (5.9)
19,2002.0,NBA,Los Angeles Lakers,New Jersey Nets,S. O'Neal,,S. O'Neal (541),S. O'Neal (239),J. Kidd (182),S. O'Neal (3.8)
20,,,,,,,,,,
21,2001.0,NBA,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,,A. Iverson (723),D. Mutombo (316),A. Iverson (134),K. Bryant (3.8)
22,2000.0,NBA,Los Angeles Lakers,Indiana Pacers,S. O'Neal,,S. O'Neal (707),S. O'Neal (355),M. Jackson (178),S. O'Neal (4.7)
23,1999.0,NBA,San Antonio Spurs,New York Knicks,T. Duncan,,L. Sprewell (407),T. Duncan (195),A. Johnson (126),T. Duncan (3.7)
24,1998.0,NBA,Chicago Bulls,Utah Jazz,M. Jordan,,M. Jordan (680),D. Rodman (248),J. Stockton (155),M. Jordan (4.8)
25,1997.0,NBA,Chicago Bulls,Utah Jazz,M. Jordan,,M. Jordan (590),K. Malone (228),J. Stockton (191),M. Jordan (3.9)
26,1996.0,NBA,Chicago Bulls,Seattle SuperSonics,M. Jordan,,M. Jordan (552),D. Rodman (247),J. Stockton (195),M. Jordan (4.7)
27,1995.0,NBA,Houston Rockets,Orlando Magic,H. Olajuwon,,H. Olajuwon (725),S. O'Neal (250),A. Hardaway (162),S. O'Neal (3.0)
28,1994.0,NBA,Houston Rockets,New York Knicks,H. Olajuwon,,H. Olajuwon (664),P. Ewing (293),J. Stockton (157),H. Olajuwon (4.3)
29,1993.0,NBA,Chicago Bulls,Phoenix Suns,M. Jordan,,M. Jordan (666),C. Barkley (326),K. Johnson (182),C. Barkley (4.6)
30,1992.0,NBA,Chicago Bulls,Portland Trail Blazers,M. Jordan,,M. Jordan (759),H. Grant (194),J. Stockton (217),M. Jordan (4.1)
31,1991.0,NBA,Chicago Bulls,Los Angeles Lakers,M. Jordan,,M. Jordan (529),D. Rodman (177),M. Johnson (240),M. Jordan (4.8)
32,1990.0,NBA,Detroit Pistons,Portland Trail Blazers,I. Thomas,,M. Jordan (587),B. Laimbeer (211),K. Johnson (170),M. Jordan (4.0)
33,1989.0,NBA,Detroit Pistons,Los Angeles Lakers,J. Dumars,,M. Jordan (591),D. Rodman (170),M. Johnson (165),M. Jordan (4.0)
34,1988.0,NBA,Los Angeles Lakers,Detroit Pistons,J. Worthy,,J. Worthy (506),B. Laimbeer (221),M. Johnson (303),M. Johnson (4.0)
35,1987.0,NBA,Los Angeles Lakers,Boston Celtics,M. Johnson,,L. Bird (622),L. Bird (231),M. Johnson (219),M. Johnson (3.7)
36,1986.0,NBA,Boston Celtics,Houston Rockets,L. Bird,,H. Olajuwon (537),H. Olajuwon (236),M. Johnson (211),L. Bird (4.2)
37,1985.0,NBA,Los Angeles Lakers,Boston Celtics,K. Abdul-Jabbar,,L. Bird (520),R. Parish (219),M. Johnson (289),M. Johnson (3.0)
38,1984.0,NBA,Boston Celtics,Los Angeles Lakers,L. Bird,,L. Bird (632),L. Bird (252),M. Johnson (284),L. Bird (4.7)
39,1983.0,NBA,Philadelphia 76ers,Los Angeles Lakers,M. Malone,,K. Abdul-Jabbar (406),M. Malone (206),M. Johnson (192),M. Malone (2.8)
40,1982.0,NBA,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,,J. Erving (461),C. Jones (189),M. Cheeks (172),J. Erving (3.0)
41,,,,,,,,,,
42,1981.0,NBA,Boston Celtics,Houston Rockets,C. Maxwell,,M. Malone (562),M. Malone (305),M. Cheeks (116),M. Malone (3.5)
43,1980.0,NBA,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,,K. Abdul-Jabbar (479),C. Jones (185),M. Johnson (151),K. Abdul-Jabbar (3.3)
44,1979.0,NBA,Seattle SuperSonics,Washington Bullets,D. Johnson,,G. Williams (454),E. Hayes (266),T. Henderson (107),G. Williams (2.7)
45,1978.0,NBA,Washington Bullets,Seattle SuperSonics,W. Unseld,,E. Hayes (457),M. Webster (289),T. Henderson (106),E. Hayes (3.1)
46,1977.0,NBA,Portland Trail Blazers,Philadelphia 76ers,B. Walton,,J. Erving (518),B. Walton (288),B. Walton (104),J. Erving (3.4)
47,1976.0,NBA,Boston Celtics,Phoenix Suns,J. White,,J. White (408),D. Cowens (296),A. Adams (98),D. Cowens (2.7)
48,1976.0,ABA,New York Nets,Denver Nuggets,,,J. Erving (451),J. Erving (164),L. Dampier (77),J. Erving (3.7)
49,1975.0,NBA,Golden State Warriors,Washington Bullets,R. Barry,,R. Barry (479),W. Unseld (276),K. Porter (124),R. Barry (3.1)
50,1975.0,ABA,Kentucky Colonels,Indiana Pacers,,,G. McGinnis (581),G. McGinnis (286),G. McGinnis (148),A. Gilmore (3.0)
51,1974.0,NBA,Boston Celtics,Milwaukee Bucks,J. Havlicek,,K. Abdul-Jabbar (515),K. Abdul-Jabbar (253),O. Robertson (149),K. Abdul-Jabbar (4.7)
52,1974.0,ABA,New York Nets,Utah Stars,,,W. Wise (420),G. Govan (246),R. Boone (109),J. Erving (3.0)
53,1973.0,NBA,New York Knicks,Los Angeles Lakers,W. Reed,,J. West (401),W. Chamberlain (383),J. West (132),W. Frazier (3.0)
54,1973.0,ABA,Indiana Pacers,Kentucky Colonels,,,D. Issel (521),A. Gilmore (260),F. Lewis (91),D. Issel (3.6)
55,1972.0,NBA,Los Angeles Lakers,New York Knicks,W. Chamberlain,,W. Frazier (388),W. Chamberlain (315),J. West (134),W. Frazier (3.3)
56,1972.0,ABA,Indiana Pacers,New York Nets,,,R. Barry (554),M. Daniels (302),F. Lewis (87),J. Erving (2.8)
57,1971.0,NBA,Milwaukee Bucks,Baltimore Bullets,K. Abdul-Jabbar,,E. Monroe (397),W. Unseld (339),O. Robertson (124),K. Abdul-Jabbar (3.3)
58,1971.0,ABA,Utah Stars,Kentucky Colonels,,,D. Issel (534),Z. Beaty (263),L. Dampier (179),D. Issel (3.3)
59,1970.0,NBA,New York Knicks,Los Angeles Lakers,W. Reed,,J. West (562),W. Chamberlain (399),W. Frazier (156),J. West (3.2)
60,1970.0,ABA,Indiana Pacers,Los Angeles Stars,,,S. Haywood (440),M. Daniels (265),M. Calvin (101),R. Brown (3.5)
61,1969.0,NBA,Boston Celtics,Los Angeles Lakers,J. West,,J. West (556),W. Chamberlain (444),J. West (135),J. West (4.3)
62,,,,,,,,,,
63,1969.0,ABA,Oakland Oaks,Indiana Pacers,,,W. Jabali (460),M. Daniels (237),L. Brown (87),R. Brown (3.4)
64,1968.0,NBA,Boston Celtics,Los Angeles Lakers,,,J. Havlicek (493),B. Russell (434),J. Havlicek (142),J. West (3.6)
65,1968.0,ABA,Pittsburgh Pipers,New Orleans Buccaneers,,,C. Hawkins (419),T. Washington (261),L. Brown (129),C. Hawkins (4.0)
