Team,Age,Wins,Losses,Year,Playoff,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,3PAr,eFG%,FT,FTA,FT%,TS%,AST,ORB,TRB,PTS,MOV,ORtg,DRtg,Pace,TOV%,ORB%,Finals_Rk
Denver Nuggets,28.1,47,35,1986,True,45.2,96.0,47.099999999999994,44.3,92.2,48.0,0.9,3.7,23.3,3.9,47.5,23.5,29.5,79.80000000000001,52.7,26.1,14.9,43.2,114.8,1.3,107.1,105.9,106.7,13.0,30.9,Knocked Out
Dallas Mavericks,25.8,44,38,1986,True,44.3,88.5,50.1,42.6,83.0,51.300000000000004,1.7,5.4,31.6,6.1,51.0,25.0,32.2,77.60000000000001,56.2,25.7,12.9,42.8,115.3,1.1,112.1,111.0,102.2,13.3,30.0,Knocked Out
Detroit Pistons,26.5,46,36,1986,True,45.8,94.5,48.4,45.1,92.3,48.9,0.7,2.2,30.2,2.3,48.8,22.0,28.0,78.3,53.400000000000006,28.3,15.6,45.6,114.2,1.17,109.0,107.9,104.2,13.3,33.5,Knocked Out
Portland Trail Blazers,26.6,40,42,1986,True,44.0,88.8,49.6,43.1,85.4,50.5,0.9,3.4,26.900000000000002,3.8,50.1,26.1,34.1,76.5,55.400000000000006,26.6,14.1,42.3,115.1,1.06,109.2,108.2,104.5,15.2,32.8,Knocked Out
Oklahoma City Thunder,26.6,31,51,1986,False,40.7,86.1,47.199999999999996,39.7,82.4,48.199999999999996,1.0,3.7,26.3,4.2,47.8,22.1,28.4,77.9,53.0,24.1,14.0,41.5,104.4,-0.1,105.9,106.0,97.4,15.1,33.2,Never Qualified
Utah Jazz,26.3,42,40,1986,True,42.1,86.4,48.8,41.7,84.3,49.4,0.4,2.1,20.7,2.4,49.0,23.5,32.9,71.6,53.6,26.8,13.0,43.3,108.2,-0.37,104.2,104.6,103.3,15.5,29.8,Knocked Out
San Antonio Spurs,27.8,35,47,1986,True,43.9,86.6,50.6,43.3,84.2,51.4,0.6,2.4,23.5,2.8000000000000003,50.9,23.0,30.8,74.6,55.50000000000001,27.6,13.0,42.5,111.2,-1.85,106.5,108.2,103.8,16.5,31.7,Knocked Out
Washington Wizards,27.1,39,43,1986,True,40.4,87.2,46.300000000000004,39.0,82.2,47.4,1.4,5.0,28.4,5.7,47.099999999999994,20.8,27.9,74.5,51.800000000000004,21.3,13.0,42.7,103.0,-1.8,103.0,104.8,99.1,14.2,29.1,Knocked Out
Brooklyn Nets,27.5,39,43,1986,True,43.3,89.0,48.6,42.7,86.4,49.5,0.5,2.6,20.1,2.9000000000000004,48.9,22.1,29.2,75.5,53.6,26.0,14.4,44.7,109.1,-1.99,105.0,106.9,103.3,15.9,33.3,Knocked Out
Cleveland Cavaliers,27.0,29,53,1986,False,42.4,88.3,48.0,40.8,83.5,48.9,1.6,4.8,33.800000000000004,5.4,49.0,21.3,28.4,75.2,53.5,25.2,13.2,43.2,107.8,-2.87,105.5,108.3,101.6,14.6,30.3,Never Qualified
Phoenix Suns,26.3,32,50,1986,False,42.9,85.3,50.3,42.4,83.0,51.1,0.5,2.2,20.8,2.6,50.6,23.8,32.7,72.6,55.2,27.7,12.6,42.5,110.0,-2.99,104.3,107.2,104.8,17.7,31.3,Never Qualified
Sacramento Kings,26.6,37,45,1986,True,43.1,88.0,49.0,42.8,86.4,49.5,0.4,1.6,22.400000000000002,1.9,49.2,22.2,28.5,77.8,54.1,28.1,13.8,42.8,108.8,-3.07,106.2,109.2,102.0,15.7,32.7,Knocked Out
Indiana Pacers,25.0,26,56,1986,False,42.0,87.2,48.1,41.7,85.5,48.8,0.3,1.7,16.1,2.0,48.3,19.7,26.6,73.9,52.5,26.3,13.9,45.7,103.9,-3.33,102.6,105.9,100.9,15.7,31.5,Never Qualified
Golden State Warriors,26.8,30,52,1986,False,44.5,92.3,48.199999999999996,43.5,88.9,48.9,1.1,3.4,31.3,3.6999999999999997,48.8,23.3,30.7,76.0,53.6,24.6,15.5,44.1,113.4,-3.45,108.3,111.6,104.2,13.9,33.5,Never Qualified
Chicago Bulls,26.6,30,52,1986,True,42.4,88.1,48.1,41.3,84.3,49.0,1.1,3.9,27.800000000000004,4.3999999999999995,48.699999999999996,23.4,30.5,76.9,53.800000000000004,24.5,15.6,43.4,109.3,-3.8,108.6,112.4,99.7,14.7,35.1,Knocked Out
New York Knicks,25.5,23,59,1986,False,39.5,85.8,46.0,38.5,82.9,46.5,1.0,2.9,34.300000000000004,3.4000000000000004,46.6,18.7,27.3,68.60000000000001,50.5,22.9,13.2,39.6,98.7,-5.61,99.5,105.2,98.6,15.2,29.5,Never Qualified
Los Angeles Clippers,27.0,32,50,1986,False,41.3,87.4,47.3,40.5,84.6,47.9,0.8,2.8,27.900000000000002,3.2,47.699999999999996,25.2,32.7,77.0,53.400000000000006,24.0,14.1,41.7,108.6,-6.93,105.4,112.1,102.7,15.3,32.0,Never Qualified
Los Angeles Lakers,27.8,65,17,1987,True,45.6,88.4,51.6,43.6,82.9,52.6,2.0,5.5,36.7,6.2,52.800000000000004,24.5,31.1,78.9,57.699999999999996,29.6,13.7,44.4,117.8,9.3,115.6,106.5,101.6,14.0,34.1,Champion
Atlanta Hawks,26.1,57,25,1987,True,41.9,87.1,48.1,40.2,81.9,49.1,1.6,5.2,31.8,6.0,49.0,24.6,32.5,75.9,54.300000000000004,25.3,16.5,46.7,110.0,7.23,112.6,105.2,97.4,13.3,37.2,Knocked Out
Boston Celtics,29.4,59,23,1987,True,44.5,86.0,51.7,41.9,79.1,53.0,2.5,6.9,36.6,8.0,53.2,21.2,26.3,80.80000000000001,57.699999999999996,29.5,11.4,42.9,112.6,6.65,113.5,106.8,98.6,14.0,29.0,Runner-Up
Dallas Mavericks,26.4,55,27,1987,True,43.8,89.9,48.699999999999996,41.0,82.0,50.0,2.8,8.0,35.4,8.9,50.3,26.2,33.1,79.10000000000001,55.800000000000004,24.6,14.9,45.3,116.7,6.3,114.9,108.7,100.5,12.3,33.8,Knocked Out
Milwaukee Bucks,27.7,50,32,1987,True,42.2,88.8,47.5,39.9,81.8,48.8,2.3,7.0,32.300000000000004,7.9,48.699999999999996,23.8,31.1,76.6,53.900000000000006,24.9,13.6,42.0,110.4,3.91,109.5,105.6,100.3,13.0,31.1,Knocked Out
Detroit Pistons,26.8,52,30,1987,True,43.2,88.3,49.0,42.7,86.2,49.6,0.5,2.1,23.1,2.3,49.2,24.3,31.7,76.5,54.400000000000006,24.6,15.2,47.5,111.2,3.44,109.2,105.8,101.0,14.5,34.7,Knocked Out
Portland Trail Blazers,26.9,49,33,1987,True,44.5,88.4,50.4,43.3,84.3,51.4,1.2,4.1,28.9,4.7,51.0,27.7,35.7,77.5,56.599999999999994,28.8,14.4,43.8,117.9,3.13,111.5,108.6,105.0,15.3,34.1,Knocked Out
Houston Rockets,26.1,42,40,1987,True,42.3,88.6,47.699999999999996,41.2,84.6,48.699999999999996,1.1,4.0,27.500000000000004,4.5,48.3,21.3,28.7,74.1,52.800000000000004,27.2,14.5,44.8,106.9,1.0,106.5,105.5,99.9,14.3,33.5,Knocked Out
Chicago Bulls,25.4,40,42,1987,True,41.2,87.3,47.3,40.3,83.6,48.199999999999996,1.0,3.6,26.1,4.2,47.8,21.4,27.5,77.8,52.800000000000004,26.1,15.2,44.5,104.8,0.89,108.6,107.6,95.8,13.4,35.0,Knocked Out
Utah Jazz,26.9,44,38,1987,True,42.5,91.6,46.400000000000006,40.8,86.2,47.4,1.7,5.5,31.0,6.0,47.3,21.2,29.1,72.6,51.6,27.3,14.6,44.5,107.9,0.4,104.1,103.7,103.2,14.1,31.2,Knocked Out
