Team,Age,Wins,Losses,Year,Playoff,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,3PAr,eFG%,FT,FTA,FT%,TS%,AST,ORB,TRB,PTS,MOV,ORtg,DRtg,Pace,TOV%,ORB%,Finals_Rk
Chicago Bulls,26.1,55,27,1990,True,43.1,86.5,49.8,40.0,78.3,51.1,3.0,8.2,37.4,9.4,51.6,20.3,26.1,77.8,55.900000000000006,26.5,13.1,40.9,109.5,3.26,112.3,109.0,96.7,13.4,31.9,Knocked Out
Houston Rockets,27.9,41,41,1990,True,42.5,88.4,48.0,40.6,82.4,49.3,1.9,6.0,31.2,6.800000000000001,49.1,19.9,27.6,72.0,53.1,26.8,14.8,47.0,106.7,1.46,104.8,103.4,101.2,15.5,33.1,Knocked Out
New York Knicks,26.5,45,37,1990,True,41.9,86.5,48.4,39.0,77.8,50.1,2.9,8.7,33.2,10.0,50.1,21.6,28.6,75.6,54.7,26.1,14.5,44.1,108.3,1.41,109.4,108.0,98.2,14.8,34.2,Knocked Out
Denver Nuggets,29.5,43,39,1990,True,45.3,97.7,46.400000000000006,42.5,89.5,47.5,2.8,8.3,33.7,8.4,47.8,21.2,26.8,78.9,52.300000000000004,27.7,14.3,45.1,114.6,1.41,108.0,106.7,105.4,11.2,29.1,Knocked Out
Oklahoma City Thunder,25.6,41,41,1990,False,42.3,88.3,47.9,39.5,80.4,49.1,2.8,7.9,35.5,9.0,49.4,19.6,26.4,74.1,53.5,22.9,16.1,43.6,106.9,1.04,110.9,109.8,95.3,14.0,37.5,Never Qualified
Atlanta Hawks,28.6,41,41,1990,False,41.7,85.6,48.699999999999996,40.2,80.6,49.8,1.5,5.0,30.2,5.8999999999999995,49.6,23.7,31.0,76.4,54.7,22.2,15.5,42.2,108.5,1.02,113.0,111.9,95.8,13.5,36.3,Never Qualified
Indiana Pacers,26.4,42,40,1990,True,41.2,83.0,49.7,37.6,73.6,51.1,3.6,9.4,38.2,11.3,51.800000000000004,23.2,28.5,81.6,57.199999999999996,24.7,11.5,40.6,109.3,0.16,111.5,111.4,97.0,14.6,29.0,Knocked Out
Dallas Mavericks,29.2,47,35,1990,True,39.6,83.3,47.5,37.7,77.4,48.699999999999996,1.9,5.9,32.300000000000004,7.1,48.699999999999996,21.2,27.6,76.7,53.6,21.7,12.7,42.2,102.2,0.07,107.2,107.2,94.5,13.6,30.3,Knocked Out
Cleveland Cavaliers,26.1,42,40,1990,True,39.2,85.1,46.1,35.0,74.7,46.800000000000004,4.2,10.4,40.699999999999996,12.2,48.5,20.0,26.8,74.4,52.900000000000006,25.7,13.8,42.8,102.6,-0.3,106.9,107.2,95.0,13.5,31.5,Knocked Out
Milwaukee Bucks,28.1,44,38,1990,True,41.2,87.1,47.3,38.7,79.0,49.0,2.5,8.2,31.2,9.4,48.8,21.0,27.7,75.8,53.300000000000004,25.0,13.5,40.9,106.0,-0.78,107.3,108.1,98.0,13.9,31.5,Knocked Out
Washington Wizards,27.5,31,51,1990,False,43.9,92.5,47.5,43.4,90.0,48.199999999999996,0.5,2.4,18.8,2.6,47.699999999999996,19.5,25.5,76.4,51.9,27.0,14.6,44.5,107.7,-2.16,107.5,109.7,99.4,12.4,32.4,Never Qualified
Golden State Warriors,26.0,37,45,1990,False,42.5,87.9,48.4,39.6,78.8,50.3,3.0,9.1,32.4,10.4,50.1,28.2,34.9,80.9,56.3,24.1,11.2,40.2,116.3,-3.13,109.6,112.6,105.9,14.3,26.1,Never Qualified
Los Angeles Clippers,24.5,30,52,1990,False,40.5,83.6,48.4,39.8,80.8,49.3,0.7,2.8,24.3,3.4000000000000004,48.8,22.1,30.0,73.8,53.6,24.1,12.9,41.7,103.8,-3.39,104.0,107.4,99.2,16.3,30.9,Never Qualified
Minnesota Timberwolves,26.2,22,60,1990,False,37.4,83.9,44.6,36.5,80.3,45.5,0.9,3.6,24.8,4.3,45.1,19.5,26.1,74.7,49.9,22.5,14.6,39.6,95.2,-4.23,103.6,108.2,91.1,13.3,34.0,Never Qualified
Sacramento Kings,26.4,23,59,1990,False,40.3,86.0,46.800000000000004,37.7,78.1,48.199999999999996,2.6,7.9,33.300000000000004,9.2,48.4,18.5,24.0,77.10000000000001,52.7,25.0,11.6,40.4,101.7,-5.06,104.8,110.0,96.7,13.5,27.3,Never Qualified
Brooklyn Nets,26.6,17,65,1990,False,38.5,90.4,42.6,36.8,84.3,43.7,1.7,6.2,27.700000000000003,6.800000000000001,43.5,21.4,28.7,74.6,48.6,18.0,16.6,45.0,100.1,-7.87,100.7,108.6,99.3,13.9,34.5,Never Qualified
Charlotte Hornets,25.6,19,63,1990,False,39.9,87.6,45.5,37.4,80.1,46.6,2.5,7.5,33.6,8.5,47.0,18.1,24.0,75.6,51.1,25.4,11.7,38.7,100.4,-7.82,102.0,109.9,98.1,13.2,26.1,Never Qualified
Orlando Magic,26.5,18,64,1990,False,42.2,91.8,45.9,40.7,87.0,46.800000000000004,1.4,4.8,29.5,5.2,46.7,25.1,33.2,75.6,52.1,24.3,15.9,46.0,110.9,-8.91,105.8,114.3,104.1,13.9,33.7,Never Qualified
Miami Heat,24.7,18,64,1990,False,41.3,89.6,46.1,40.2,85.9,46.800000000000004,1.1,3.7,29.299999999999997,4.1000000000000005,46.7,17.0,24.7,68.7,50.1,23.9,15.1,43.4,100.6,-9.72,99.3,108.9,101.0,15.9,33.5,Never Qualified
Chicago Bulls,26.9,61,21,1991,True,44.3,86.9,51.0,42.4,81.7,51.9,1.9,5.2,36.6,6.0,52.1,19.6,25.7,76.0,56.00000000000001,27.0,14.0,42.6,110.0,9.1,114.6,105.2,95.6,12.8,34.7,Champion
Portland Trail Blazers,27.9,63,19,1991,True,43.6,89.9,48.5,39.5,78.8,50.1,4.2,11.0,37.7,12.3,50.9,23.3,31.0,75.3,55.400000000000006,27.5,14.7,45.9,114.7,8.68,112.8,104.3,100.5,13.4,33.8,Knocked Out
Los Angeles Lakers,28.4,58,24,1991,True,40.8,84.3,48.4,38.0,75.2,50.5,2.8,9.1,30.4,10.8,50.0,22.0,27.6,79.80000000000001,55.1,25.5,13.1,42.9,106.3,6.74,112.1,105.0,94.1,13.2,33.0,Runner-Up
Phoenix Suns,26.9,55,27,1991,True,43.6,87.8,49.6,41.9,82.5,50.8,1.7,5.3,31.900000000000002,6.0,50.6,25.2,32.7,77.0,55.800000000000004,26.9,13.8,45.5,114.0,6.55,112.6,106.1,101.0,13.5,33.0,Knocked Out
Boston Celtics,28.2,56,26,1991,True,45.1,88.0,51.2,43.7,83.8,52.2,1.3,4.2,31.5,4.8,52.0,20.1,24.4,82.39999999999999,56.49999999999999,26.3,13.3,46.2,111.5,5.82,112.6,106.7,98.5,14.0,33.0,Knocked Out
San Antonio Spurs,26.0,55,27,1991,True,41.6,85.2,48.8,40.6,81.6,49.7,1.0,3.6,27.3,4.3,49.4,23.0,30.0,76.6,54.400000000000006,26.1,13.8,46.2,107.1,4.51,107.8,103.3,98.6,15.2,33.3,Knocked Out
Detroit Pistons,30.5,50,32,1991,True,39.0,83.8,46.5,37.4,78.5,47.599999999999994,1.6,5.4,29.799999999999997,6.4,47.4,20.6,27.0,76.3,52.300000000000004,22.3,14.7,44.6,100.1,3.27,108.2,104.6,91.9,13.1,34.7,Knocked Out
Utah Jazz,28.7,54,28,1991,True,39.2,79.7,49.2,37.4,74.1,50.4,1.8,5.6,32.300000000000004,7.000000000000001,50.3,23.8,30.1,78.9,55.900000000000006,27.0,10.6,40.7,104.0,3.33,108.6,105.1,95.3,14.6,27.6,Knocked Out
Houston Rockets,27.3,52,30,1991,True,41.5,88.9,46.7,37.6,76.8,49.0,3.9,12.1,32.0,13.600000000000001,48.9,19.9,26.8,74.1,53.0,23.2,15.5,46.1,106.7,3.5,107.4,103.9,98.5,14.5,34.4,Knocked Out
Milwaukee Bucks,29.3,48,34,1991,True,40.7,84.7,48.0,37.6,75.5,49.7,3.1,9.2,34.1,10.8,49.9,21.9,27.3,80.10000000000001,55.00000000000001,25.3,13.2,39.5,106.4,2.48,109.7,107.2,96.1,14.3,31.8,Knocked Out
Golden State Warriors,26.5,44,38,1991,True,43.5,89.6,48.5,40.2,79.8,50.4,3.3,9.8,33.7,10.9,50.4,26.4,33.7,78.3,55.900000000000006,23.8,13.6,41.7,116.6,1.63,111.9,110.3,103.6,13.7,31.0,Knocked Out
Oklahoma City Thunder,26.2,41,41,1991,True,42.7,86.8,49.2,41.0,81.6,50.3,1.7,5.2,31.900000000000002,6.0,50.1,19.6,26.1,75.0,54.2,24.9,14.9,41.4,106.6,1.23,109.7,108.5,96.2,14.8,36.3,Knocked Out
Atlanta Hawks,29.0,43,39,1991,True,40.8,88.1,46.400000000000006,37.5,77.9,48.199999999999996,3.3,10.2,32.4,11.600000000000001,48.199999999999996,24.8,31.0,80.0,54.0,22.7,15.1,44.6,109.8,0.77,110.9,110.1,98.6,12.9,33.1,Knocked Out
New York Knicks,28.1,39,43,1991,True,40.3,83.2,48.5,38.1,76.4,49.9,2.3,6.8,33.2,8.200000000000001,49.8,20.2,26.2,77.0,54.400000000000006,26.5,12.8,42.5,103.1,-0.23,107.1,107.3,95.0,15.1,31.1,Knocked Out
Philadelphia 76ers,28.4,44,38,1991,True,40.1,84.5,47.5,37.7,76.9,49.1,2.4,7.5,31.6,8.9,48.9,22.8,28.9,79.0,54.2,22.2,12.0,42.4,105.4,-0.18,107.9,108.1,95.7,13.4,28.1,Knocked Out
Indiana Pacers,26.4,41,41,1991,True,42.1,85.3,49.3,39.0,76.2,51.300000000000004,3.0,9.1,33.2,10.7,51.1,24.5,30.2,81.10000000000001,56.599999999999994,26.6,12.4,41.4,111.7,-0.39,111.7,112.1,99.4,14.4,30.6,Knocked Out
Cleveland Cavaliers,26.8,33,49,1991,False,39.7,83.6,47.5,37.8,77.8,48.6,2.0,5.8,33.4,7.000000000000001,48.699999999999996,20.3,26.5,76.5,53.400000000000006,27.3,12.3,40.7,101.7,-2.46,106.1,108.7,95.1,14.1,29.7,Never Qualified
Los Angeles Clippers,25.1,31,51,1991,False,41.4,89.2,46.400000000000006,40.0,83.9,47.599999999999994,1.4,5.3,26.0,5.8999999999999995,47.099999999999994,19.5,27.7,70.19999999999999,51.1,25.8,15.2,45.7,103.5,-3.45,103.0,106.5,99.9,14.7,33.3,Never Qualified
Orlando Magic,26.1,31,51,1991,False,40.2,88.5,45.5,36.9,79.3,46.6,3.3,9.2,35.8,10.4,47.3,22.2,29.8,74.3,52.1,22.1,15.0,44.7,105.9,-3.98,105.9,109.9,99.5,14.3,33.0,Never Qualified
Minnesota Timberwolves,26.2,29,53,1991,False,39.8,88.7,44.9,38.5,84.1,45.800000000000004,1.3,4.6,28.299999999999997,5.2,45.6,18.7,25.4,73.5,49.9,23.0,15.5,41.3,99.6,-3.93,106.7,110.9,92.3,11.5,34.9,Never Qualified
Brooklyn Nets,26.2,26,56,1991,False,40.4,91.0,44.4,38.4,83.8,45.800000000000004,2.0,7.1,27.500000000000004,7.9,45.5,20.2,27.4,73.9,50.0,21.7,17.1,45.7,102.9,-4.51,102.9,107.4,99.3,14.4,35.7,Never Qualified
Dallas Mavericks,30.6,28,54,1991,False,39.6,84.0,47.099999999999994,37.2,76.7,48.5,2.4,7.3,32.2,8.7,48.5,18.4,24.2,76.1,52.800000000000004,22.2,12.0,40.8,99.9,-4.57,105.5,110.3,94.2,13.3,28.3,Never Qualified
Washington Wizards,26.5,30,52,1991,False,41.3,88.6,46.6,40.7,85.2,47.8,0.7,3.5,19.400000000000002,3.9,47.0,18.0,24.7,72.89999999999999,50.9,25.4,14.3,43.5,101.4,-4.98,103.0,108.1,97.5,14.3,32.2,Never Qualified
Charlotte Hornets,25.5,26,56,1991,False,40.1,85.8,46.7,38.5,80.7,47.699999999999996,1.6,5.1,31.4,5.8999999999999995,47.699999999999996,21.0,27.0,77.9,52.6,24.6,12.5,39.4,102.8,-5.24,105.0,110.4,97.3,13.9,29.0,Never Qualified
Miami Heat,24.0,24,58,1991,False,40.0,87.1,45.9,38.3,81.4,47.0,1.7,5.7,30.2,6.5,46.9,20.1,28.1,71.5,51.2,23.2,15.0,43.1,101.8,-5.99,102.0,108.1,99.3,16.0,34.3,Never Qualified
Sacramento Kings,25.9,25,57,1991,False,37.6,83.1,45.300000000000004,35.0,76.1,46.0,2.6,7.0,37.4,8.5,46.800000000000004,18.8,25.7,73.2,51.2,24.3,12.5,39.6,96.7,-6.78,102.0,109.1,94.7,14.1,28.8,Never Qualified
Denver Nuggets,26.5,20,62,1991,False,47.6,108.1,44.0,43.9,95.2,46.1,3.7,12.9,28.299999999999997,11.899999999999999,45.7,21.0,27.6,76.3,49.8,24.5,18.5,49.4,119.9,-10.91,105.2,114.7,113.7,11.9,33.1,Never Qualified
Chicago Bulls,27.6,67,15,1992,True,44.4,87.4,50.8,42.7,81.9,52.2,1.7,5.5,30.4,6.3,51.800000000000004,19.4,26.0,74.4,55.60000000000001,27.8,14.3,44.0,109.9,10.44,115.5,104.5,94.4,11.8,35.1,Champion
Portland Trail Blazers,28.1,57,25,1992,True,42.4,89.7,47.3,38.4,78.1,49.2,4.0,11.5,34.4,12.8,49.5,22.7,30.0,75.4,54.1,25.2,15.8,46.9,111.4,7.27,111.4,104.2,99.0,13.6,35.6,Runner-Up
Utah Jazz,28.5,55,27,1992,True,41.2,83.7,49.2,39.3,78.1,50.3,1.9,5.6,34.5,6.7,50.4,23.9,30.4,78.8,55.7,26.7,13.4,44.4,108.3,6.39,112.2,105.6,95.5,13.7,32.7,Knocked Out
Phoenix Suns,27.0,53,29,1992,True,43.3,88.0,49.2,40.6,80.8,50.2,2.8,7.3,38.1,8.3,50.8,22.7,29.2,77.60000000000001,55.60000000000001,26.9,13.3,44.5,112.1,5.94,112.1,106.2,99.4,13.1,31.7,Knocked Out
Cleveland Cavaliers,27.6,57,25,1992,True,41.8,85.7,48.8,38.7,77.0,50.2,3.1,8.6,35.699999999999996,10.100000000000001,50.6,22.2,27.5,80.5,55.7,27.6,12.7,42.6,108.9,5.45,113.9,108.2,95.0,11.8,30.5,Knocked Out
New York Knicks,27.3,51,31,1992,True,40.4,84.7,47.699999999999996,37.9,77.2,49.2,2.5,7.5,32.5,8.9,49.1,18.3,25.0,73.4,53.1,26.0,14.5,44.8,101.6,3.89,108.3,104.2,92.9,13.7,34.6,Knocked Out
Boston Celtics,29.2,51,31,1992,True,43.2,87.8,49.2,41.9,83.4,50.2,1.3,4.4,30.599999999999998,5.0,50.0,18.9,23.4,80.80000000000001,54.400000000000006,25.3,13.4,44.9,106.6,3.62,110.8,107.0,95.8,12.7,31.9,Knocked Out
Golden State Warriors,25.5,55,27,1992,True,45.9,90.6,50.7,42.8,81.3,52.7,3.1,9.3,33.300000000000004,10.299999999999999,52.400000000000006,23.7,31.8,74.6,56.8,25.2,13.9,42.8,118.7,3.9,113.6,109.9,103.4,13.6,31.8,Knocked Out
San Antonio Spurs,27.3,47,35,1992,True,41.2,86.5,47.599999999999994,39.7,81.5,48.699999999999996,1.4,4.9,29.2,5.7,48.5,20.1,27.4,73.6,52.800000000000004,24.5,15.0,46.1,104.0,3.32,107.5,104.1,96.2,13.9,34.2,Knocked Out
Detroit Pistons,30.1,48,34,1992,True,38.9,83.7,46.5,36.9,77.3,47.699999999999996,2.0,6.4,31.4,7.7,47.699999999999996,19.1,25.7,74.3,52.0,23.2,14.8,44.3,98.9,2.04,107.5,105.3,91.6,13.5,34.9,Knocked Out
Oklahoma City Thunder,27.3,47,35,1992,True,41.2,86.9,47.4,38.7,79.0,49.0,2.5,7.9,31.7,9.1,48.9,21.6,27.6,78.3,53.800000000000004,22.9,15.6,43.2,106.5,1.88,110.7,108.8,95.4,14.0,36.5,Knocked Out
Indiana Pacers,26.4,40,42,1992,True,42.7,86.3,49.4,38.6,74.9,51.6,4.1,11.5,35.4,13.3,51.800000000000004,22.8,28.8,79.0,56.599999999999994,29.2,13.2,44.5,112.2,1.89,111.7,109.9,99.0,14.7,31.8,Knocked Out
Los Angeles Clippers,27.3,45,37,1992,True,40.8,86.3,47.3,39.0,80.2,48.699999999999996,1.8,6.1,28.9,7.1,48.3,19.5,27.1,72.0,52.400000000000006,25.0,13.8,43.0,102.9,1.07,105.8,104.7,96.5,13.6,31.6,Knocked Out
Los Angeles Lakers,28.3,43,39,1992,True,38.8,85.1,45.6,37.4,79.7,46.9,1.5,5.4,26.700000000000003,6.4,46.5,21.3,27.8,76.6,51.6,22.0,14.1,40.9,100.4,-1.1,107.7,108.9,92.5,12.0,32.7,Knocked Out
Philadelphia 76ers,27.6,35,47,1992,False,38.9,82.5,47.099999999999994,36.1,74.2,48.699999999999996,2.8,8.3,33.4,10.100000000000001,48.8,21.4,27.6,77.5,53.900000000000006,21.4,12.9,41.1,101.9,-1.27,108.3,109.7,93.7,13.8,30.9,Never Qualified
Atlanta Hawks,27.2,38,44,1992,False,42.6,91.2,46.7,40.0,83.0,48.199999999999996,2.6,8.2,31.3,9.0,48.1,18.5,25.3,73.1,51.9,25.9,15.7,46.2,106.2,-1.5,107.3,108.9,97.8,13.0,33.6,Never Qualified
Brooklyn Nets,25.6,40,42,1992,True,42.4,92.4,45.800000000000004,39.6,84.3,47.0,2.7,8.2,33.4,8.799999999999999,47.3,17.9,24.5,73.2,51.0,23.6,18.4,47.6,105.4,-1.7,107.0,108.7,98.0,14.1,39.1,Knocked Out
Houston Rockets,28.0,42,40,1992,False,39.9,84.1,47.5,35.9,72.4,49.6,4.0,11.7,34.300000000000004,13.900000000000002,49.9,18.2,24.6,73.8,53.7,25.1,13.1,42.8,102.0,-1.72,106.2,108.0,95.1,15.0,30.9,Never Qualified
Milwaukee Bucks,30.2,31,51,1992,False,40.5,88.0,46.0,36.0,75.7,47.5,4.5,12.3,36.9,13.900000000000002,48.6,19.5,25.7,75.9,52.900000000000006,24.6,15.8,42.3,105.0,-1.71,108.8,110.6,95.5,14.2,35.9,Never Qualified
Charlotte Hornets,25.2,31,51,1992,False,44.1,92.3,47.699999999999996,42.6,87.8,48.6,1.4,4.5,31.7,4.9,48.5,20.0,26.4,75.5,52.7,27.9,14.2,43.1,109.5,-3.9,107.1,110.9,101.7,13.0,31.1,Never Qualified
Miami Heat,24.4,38,44,1992,True,39.7,86.1,46.1,36.6,77.0,47.5,3.1,9.2,34.2,10.6,47.9,22.4,28.4,79.0,53.2,21.3,14.5,43.3,105.0,-4.21,106.7,110.9,97.7,14.6,33.0,Knocked Out
Washington Wizards,26.1,25,57,1992,False,41.0,89.0,46.1,39.2,82.5,47.599999999999994,1.8,6.5,27.200000000000003,7.3999999999999995,47.099999999999994,18.5,23.9,77.8,51.4,24.5,13.0,41.6,102.4,-4.46,103.9,108.4,97.7,13.3,28.9,Never Qualified
Sacramento Kings,25.1,29,53,1992,False,40.8,87.7,46.6,37.9,79.4,47.699999999999996,2.9,8.2,35.3,9.4,48.199999999999996,19.7,26.4,74.7,52.5,23.9,12.9,41.6,104.3,-6.06,103.9,109.9,99.6,14.3,28.5,Never Qualified
Orlando Magic,26.6,21,61,1992,False,39.3,86.6,45.300000000000004,36.9,79.2,46.6,2.4,7.4,32.4,8.6,46.7,20.6,27.7,74.6,51.4,21.9,14.3,42.7,101.6,-6.91,103.5,110.5,98.0,14.6,32.4,Never Qualified
Minnesota Timberwolves,26.4,15,67,1992,False,41.0,89.5,45.800000000000004,39.5,84.7,46.6,1.5,4.8,32.0,5.4,46.7,16.8,22.6,74.3,50.5,24.7,14.2,40.7,100.5,-7.05,105.0,112.4,95.1,12.4,31.5,Never Qualified
Denver Nuggets,25.7,24,58,1992,False,39.8,90.0,44.2,38.2,84.9,45.0,1.5,5.1,30.099999999999998,5.7,45.1,18.6,25.2,73.8,49.3,18.9,16.5,45.1,99.7,-7.87,100.7,108.6,98.6,14.9,34.8,Never Qualified
Dallas Mavericks,28.2,22,60,1992,False,38.0,86.6,43.9,34.8,76.9,45.2,3.3,9.7,33.6,11.200000000000001,45.800000000000004,18.3,24.4,75.0,50.1,19.9,14.6,44.3,97.6,-7.65,103.0,111.1,94.4,13.1,31.2,Never Qualified
Oklahoma City Thunder,27.7,55,27,1993,True,42.4,87.1,48.6,39.7,79.6,49.8,2.7,7.4,35.699999999999996,8.5,50.2,21.0,27.5,76.1,54.6,23.2,14.9,42.4,108.3,7.07,112.3,104.9,96.0,13.5,35.5,Knocked Out
Chicago Bulls,28.1,57,25,1993,True,42.4,87.9,48.199999999999996,39.4,79.7,49.4,3.0,8.2,36.5,9.3,49.9,17.5,23.8,73.3,53.5,26.0,15.7,43.6,105.2,6.29,112.9,106.1,92.5,12.0,36.3,Champion
Cleveland Cavaliers,28.8,54,28,1993,True,41.8,84.0,49.7,38.3,74.9,51.1,3.5,9.0,38.1,10.8,51.800000000000004,20.7,25.8,80.2,56.49999999999999,28.6,11.3,41.8,107.7,6.45,112.7,106.0,94.8,12.5,28.1,Knocked Out
Phoenix Suns,28.2,62,20,1993,True,42.6,86.5,49.3,37.8,73.1,51.6,4.9,13.4,36.3,15.4,52.1,23.3,31.0,75.3,56.599999999999994,25.5,13.9,44.5,113.4,6.66,113.3,106.7,99.8,14.2,33.0,Runner-Up
New York Knicks,28.3,60,22,1993,True,39.1,84.1,46.5,36.8,76.8,47.9,2.4,7.4,32.0,8.799999999999999,47.9,20.9,28.2,74.1,52.6,25.9,14.0,46.5,101.6,6.16,106.1,99.7,94.5,14.1,33.1,Knocked Out
Houston Rockets,27.4,55,27,1993,True,40.0,82.2,48.6,35.3,69.2,51.0,4.7,13.1,36.1,15.9,51.5,19.3,25.5,75.8,55.7,25.8,12.0,42.9,104.0,4.23,109.6,105.2,94.4,14.5,30.0,Knocked Out
Portland Trail Blazers,28.2,51,31,1993,True,41.0,89.5,45.800000000000004,37.6,79.3,47.5,3.4,10.3,32.6,11.5,47.599999999999994,23.2,31.1,74.5,52.6,24.0,15.0,45.5,108.5,3.11,108.3,105.2,99.1,12.6,32.7,Knocked Out
San Antonio Spurs,27.5,49,33,1993,True,40.4,82.5,49.0,37.5,74.0,50.7,2.9,8.4,34.1,10.2,50.7,21.9,28.6,76.5,55.50000000000001,24.5,11.2,42.2,105.5,2.67,109.6,106.8,95.4,13.6,27.8,Knocked Out
Utah Jazz,29.3,47,35,1993,True,40.7,83.3,48.9,39.1,78.2,50.0,1.6,5.0,31.4,6.1,49.8,23.3,30.4,76.6,55.00000000000001,26.5,12.7,42.7,106.2,2.17,109.6,107.4,96.5,13.8,31.0,Knocked Out
Indiana Pacers,26.8,41,41,1993,True,41.1,85.6,48.0,38.0,76.0,50.0,3.1,9.6,32.6,11.200000000000001,49.8,22.4,29.3,76.6,54.7,26.1,14.9,44.8,107.8,1.7,111.9,110.1,96.0,13.5,34.2,Knocked Out
Orlando Magic,25.8,41,41,1993,False,39.7,81.8,48.6,35.9,71.0,50.5,3.9,10.8,35.699999999999996,13.3,50.9,22.2,30.4,73.0,55.400000000000006,23.8,12.7,44.0,105.5,1.32,108.5,107.1,96.3,15.5,31.4,Never Qualified
Brooklyn Nets,27.3,43,39,1993,True,39.9,86.4,46.2,38.0,80.4,47.3,1.9,6.0,31.8,6.9,47.3,21.1,27.5,76.7,52.2,22.8,15.7,46.3,102.8,1.26,106.5,105.2,96.0,14.4,35.5,Knocked Out
Boston Celtics,28.6,48,34,1993,True,42.1,86.5,48.699999999999996,40.8,81.8,49.8,1.3,4.7,28.7,5.4,49.5,18.1,23.3,77.7,53.6,24.4,13.1,42.8,103.7,0.89,108.7,107.8,94.9,12.9,31.2,Knocked Out
Los Angeles Clippers,26.7,41,41,1993,True,43.2,89.4,48.4,41.6,83.4,49.9,1.6,6.0,27.1,6.7,49.3,19.0,26.5,71.8,53.0,27.3,14.4,43.2,107.1,0.35,107.4,107.1,99.1,13.9,32.7,Knocked Out
Charlotte Hornets,25.7,44,38,1993,True,42.8,87.9,48.699999999999996,40.7,81.4,50.0,2.1,6.5,32.6,7.3999999999999995,49.9,22.3,29.0,77.10000000000001,54.7,26.4,13.4,43.9,110.1,-0.24,109.5,109.7,100.2,13.8,31.3,Knocked Out
Atlanta Hawks,27.1,43,39,1993,True,41.4,88.7,46.6,36.7,75.6,48.6,4.7,13.1,35.5,14.799999999999999,49.3,20.1,27.1,74.2,53.400000000000006,25.4,15.7,44.3,107.5,-0.87,109.3,110.2,97.6,14.0,34.8,Knocked Out
Golden State Warriors,25.0,34,48,1993,False,42.4,88.0,48.199999999999996,38.7,77.6,49.9,3.6,10.4,35.0,11.799999999999999,50.2,21.6,30.1,71.7,54.300000000000004,24.5,14.9,43.9,109.9,-0.99,109.2,110.2,99.5,14.9,34.2,Never Qualified
Miami Heat,25.2,36,46,1993,False,38.1,83.5,45.6,34.1,72.1,47.3,4.1,11.5,35.4,13.700000000000001,48.1,23.3,30.2,77.10000000000001,53.5,20.6,13.8,42.9,103.6,-1.15,107.7,108.9,94.6,13.9,31.9,Never Qualified
Los Angeles Lakers,28.0,39,43,1993,True,40.4,85.3,47.3,38.1,77.7,49.0,2.3,7.6,29.9,9.0,48.6,21.2,28.1,75.6,53.400000000000006,24.5,13.5,41.4,104.2,-1.27,107.6,108.9,96.2,13.7,31.4,Knocked Out
Detroit Pistons,29.9,40,42,1993,False,39.8,87.9,45.300000000000004,36.3,76.9,47.199999999999996,3.6,11.1,32.2,12.6,47.3,17.4,23.9,72.89999999999999,51.1,23.7,15.8,44.0,100.6,-1.39,107.4,108.9,93.2,12.5,34.6,Never Qualified
Denver Nuggets,24.8,36,46,1993,False,40.9,88.8,46.0,39.2,83.3,47.099999999999994,1.7,5.5,30.4,6.2,47.0,21.8,28.8,75.6,51.800000000000004,21.2,15.4,46.7,105.2,-1.74,104.6,106.3,99.8,14.5,33.6,Never Qualified
Sacramento Kings,26.5,25,57,1993,False,41.0,88.6,46.300000000000004,37.8,79.0,47.8,3.2,9.6,33.2,10.8,48.1,22.7,29.8,76.2,53.0,25.3,13.9,41.7,107.9,-3.17,106.5,109.6,100.8,14.1,30.7,Never Qualified
Milwaukee Bucks,26.9,28,54,1993,False,39.9,84.4,47.199999999999996,36.0,73.0,49.4,3.8,11.4,33.300000000000004,13.5,49.5,18.8,25.4,74.2,53.5,25.4,12.8,38.6,102.3,-3.73,106.2,110.1,96.1,14.8,30.5,Never Qualified
Philadelphia 76ers,27.1,26,56,1993,False,39.3,86.3,45.6,35.3,74.8,47.199999999999996,4.0,11.5,35.099999999999994,13.3,47.9,21.7,27.5,78.60000000000001,53.0,24.9,12.6,42.2,104.3,-5.77,104.6,110.4,98.5,14.4,28.1,Never Qualified
Washington Wizards,26.1,22,60,1993,False,40.3,86.2,46.7,38.1,79.1,48.199999999999996,2.1,7.0,30.099999999999998,8.200000000000001,48.0,19.2,25.7,74.8,52.300000000000004,25.7,12.6,40.8,101.9,-7.04,103.6,110.8,97.7,14.2,28.8,Never Qualified
Minnesota Timberwolves,25.8,19,63,1993,False,37.1,79.6,46.6,35.1,72.7,48.3,2.0,6.9,29.2,8.7,47.9,21.9,27.4,79.80000000000001,53.5,24.4,11.5,38.3,98.1,-7.78,103.6,111.8,93.8,15.9,28.7,Never Qualified
Dallas Mavericks,24.9,11,71,1993,False,38.6,88.7,43.5,35.1,78.5,44.800000000000004,3.5,10.2,33.800000000000004,11.5,45.5,18.7,26.5,70.5,49.5,20.5,15.0,42.7,99.3,-15.2,99.5,114.7,99.5,15.1,31.1,Never Qualified
Oklahoma City Thunder,28.1,63,19,1994,True,40.7,84.2,48.4,37.8,75.4,50.1,3.0,8.8,33.5,10.5,50.1,21.6,29.0,74.5,54.7,25.8,14.0,41.2,105.9,9.09,111.1,101.5,95.1,13.7,34.4,Knocked Out
