Team,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,ORB,TRB,AST,TOV,PTS,Year,Playoff,Finals_Rk
San Antonio Spurs,3222,6864,46.9,2469,4937,50.0,753,1927,39.1,1440,1806,821,3598,1954,1101,8637,2017,True,Knocked Out
Indiana Pacers,3221,6931,46.5,2512,5046,49.8,709,1885,37.6,1467,1811,742,3444,1844,1130,8618,2017,True,Knocked Out
Charlotte Hornets,3093,7000,44.2,2269,4653,48.8,824,2347,35.099999999999994,1591,1953,721,3574,1891,942,8601,2017,False,Never Qualified
Los Angeles Lakers,3224,7164,45.0,2494,5054,49.3,730,2110,34.599999999999994,1397,1853,933,3569,1716,1243,8575,2017,False,Never Qualified
New Orleans Pelicans,3210,7130,45.0,2442,4934,49.5,768,2196,35.0,1368,1825,703,3582,1869,1054,8556,2017,False,Never Qualified
New York Knicks,3244,7256,44.7,2540,5234,48.5,704,2022,34.8,1364,1731,983,3706,1786,1139,8556,2017,False,Never Qualified
Milwaukee Bucks,3182,6715,47.4,2462,4769,51.6,720,1946,37.0,1413,1839,723,3312,1984,1145,8497,2017,True,Knocked Out
Miami Heat,3202,7037,45.5,2394,4824,49.6,808,2213,36.5,1248,1768,872,3577,1742,1102,8460,2017,False,Never Qualified
Atlanta Hawks,3123,6918,45.1,2394,4781,50.1,729,2137,34.1,1484,2039,842,3635,1938,1294,8459,2017,True,Knocked Out
Chicago Bulls,3169,7141,44.4,2546,5310,47.9,623,1831,34.0,1474,1848,999,3796,1851,1112,8435,2017,True,Knocked Out
Sacramento Kings,3105,6734,46.1,2368,4774,49.6,737,1960,37.6,1483,1913,715,3367,1844,1201,8430,2017,False,Never Qualified
Philadelphia 76ers,3088,6992,44.2,2257,4549,49.6,831,2443,34.0,1393,1806,807,3513,1949,1366,8400,2017,False,Never Qualified
Detroit Pistons,3269,7282,44.9,2638,5367,49.2,631,1915,33.0,1140,1586,908,3746,1732,973,8309,2017,False,Never Qualified
Orlando Magic,3139,7133,44.0,2438,4994,48.8,701,2139,32.800000000000004,1309,1753,807,3541,1820,1091,8288,2017,False,Never Qualified
Utah Jazz,3033,6515,46.6,2242,4387,51.1,791,2128,37.2,1401,1875,771,3545,1651,1118,8258,2017,True,Knocked Out
Memphis Grizzlies,2984,6854,43.5,2217,4685,47.3,767,2169,35.4,1504,1918,886,3507,1744,1059,8239,2017,True,Knocked Out
Dallas Mavericks,2968,6750,44.0,2090,4277,48.9,878,2473,35.5,1215,1516,647,3163,1705,972,8029,2017,False,Never Qualified
Golden State Warriors,3509,6981,50.3,2583,4611,56.00000000000001,926,2370,39.1,1360,1668,691,3568,2402,1267,9304,2018,True,Champion
Houston Rockets,3174,6906,46.0,1918,3436,55.800000000000004,1256,3470,36.199999999999996,1609,2061,739,3564,1767,1135,9213,2018,True,Knocked Out
New Orleans Pelicans,3500,7241,48.3,2663,4929,54.0,837,2312,36.199999999999996,1324,1716,712,3636,2195,1223,9161,2018,True,Knocked Out
Toronto Raptors,3383,7169,47.199999999999996,2415,4464,54.1,968,2705,35.8,1422,1790,800,3607,1995,1095,9156,2018,True,Knocked Out
Cleveland Cavaliers,3311,6950,47.599999999999994,2330,4314,54.0,981,2636,37.2,1488,1909,694,3455,1916,1126,9091,2018,True,Runner-Up
Denver Nuggets,3338,7102,47.0,2398,4566,52.5,940,2536,37.1,1404,1830,902,3650,2059,1227,9020,2018,False,Never Qualified
Philadelphia 76ers,3349,7098,47.199999999999996,2448,4653,52.6,901,2445,36.9,1405,1868,893,3889,2221,1353,9004,2018,True,Knocked Out
Minnesota Timberwolves,3365,7063,47.599999999999994,2707,5218,51.9,658,1845,35.699999999999996,1592,1980,848,3441,1861,1021,8980,2018,True,Knocked Out
Los Angeles Clippers,3302,7004,47.099999999999994,2525,4808,52.5,777,2196,35.4,1556,2095,832,3598,1832,1204,8937,2018,False,Never Qualified
Charlotte Hornets,3197,7106,45.0,2373,4873,48.699999999999996,824,2233,36.9,1656,2216,827,3728,1770,1041,8874,2018,False,Never Qualified
Los Angeles Lakers,3338,7248,46.1,2516,4864,51.7,822,2384,34.5,1364,1910,876,3803,1949,1295,8862,2018,False,Never Qualified
Oklahoma City Thunder,3271,7221,45.300000000000004,2390,4730,50.5,881,2491,35.4,1421,1985,1024,3695,1750,1147,8844,2018,True,Knocked Out
Washington Wizards,3275,7018,46.7,2461,4845,50.8,814,2173,37.5,1378,1786,823,3536,2065,1196,8742,2018,True,Knocked Out
Brooklyn Nets,3136,7114,44.1,2095,4190,50.0,1041,2924,35.6,1428,1850,792,3644,1941,1245,8741,2018,False,Never Qualified
Milwaukee Bucks,3257,6807,47.8,2539,4783,53.1,718,2024,35.5,1499,1915,688,3267,1905,1134,8731,2018,True,Knocked Out
Portland Trail Blazers,3222,7132,45.2,2377,4824,49.3,845,2308,36.6,1372,1715,835,3728,1599,1109,8661,2018,True,Knocked Out
Indiana Pacers,3345,7083,47.199999999999996,2604,5073,51.300000000000004,741,2010,36.9,1225,1573,788,3472,1819,1089,8656,2018,True,Knocked Out
New York Knicks,3334,7193,46.400000000000006,2661,5279,50.4,673,1914,35.199999999999996,1225,1557,859,3611,1912,1207,8566,2018,False,Never Qualified
Utah Jazz,3139,6797,46.2,2252,4372,51.5,887,2425,36.6,1375,1766,740,3547,1839,1205,8540,2018,True,Knocked Out
Boston Celtics,3141,6975,45.0,2202,4483,49.1,939,2492,37.7,1308,1697,767,3645,1842,1149,8529,2018,True,Knocked Out
Phoenix Suns,3153,7141,44.2,2390,4855,49.2,763,2286,33.4,1453,1962,842,3618,1743,1289,8522,2018,False,Never Qualified
Detroit Pistons,3208,7129,45.0,2322,4756,48.8,886,2373,37.3,1207,1621,830,3586,1868,1103,8509,2018,False,Never Qualified
Miami Heat,3184,6997,45.5,2281,4491,50.8,903,2506,36.0,1209,1601,763,3564,1862,1179,8480,2018,True,Knocked Out
Orlando Magic,3182,7042,45.2,2338,4637,50.4,844,2405,35.099999999999994,1271,1678,722,3414,1921,1192,8479,2018,False,Never Qualified
Atlanta Hawks,3130,7015,44.6,2213,4471,49.5,917,2544,36.0,1298,1654,743,3436,1946,1276,8475,2018,False,Never Qualified
Chicago Bulls,3170,7285,43.5,2264,4736,47.8,906,2549,35.5,1194,1574,790,3663,1923,1147,8440,2018,False,Never Qualified
San Antonio Spurs,3202,6999,45.7,2506,5022,49.9,696,1977,35.199999999999996,1324,1715,849,3626,1868,1078,8424,2018,True,Knocked Out
Dallas Mavericks,3128,7042,44.4,2161,4354,49.6,967,2688,36.0,1167,1530,666,3383,1858,1008,8390,2018,False,Never Qualified
Memphis Grizzlies,3013,6788,44.4,2255,4636,48.6,758,2152,35.199999999999996,1361,1732,779,3323,1767,1227,8145,2018,False,Never Qualified
Sacramento Kings,3179,7063,45.0,2441,5096,47.9,738,1967,37.5,1008,1371,777,3355,1768,1125,8104,2018,False,Never Qualified
Milwaukee Bucks,3555,7471,47.599999999999994,2450,4337,56.49999999999999,1105,3134,35.3,1471,1904,762,4078,2136,1137,9686,2019,True,Knocked Out
Golden State Warriors,3612,7361,49.1,2525,4537,55.7,1087,2824,38.5,1339,1672,797,3787,2413,1169,9650,2019,True,Runner-Up
New Orleans Pelicans,3581,7563,47.3,2739,5114,53.6,842,2449,34.4,1462,1921,909,3878,2216,1215,9466,2019,False,Never Qualified
Philadelphia 76ers,3407,7233,47.099999999999994,2518,4759,52.900000000000006,889,2474,35.9,1742,2258,892,3917,2207,1223,9445,2019,True,Knocked Out
Los Angeles Clippers,3384,7178,47.099999999999994,2563,5060,50.7,821,2118,38.800000000000004,1853,2340,796,3732,1970,1193,9442,2019,True,Knocked Out
Portland Trail Blazers,3470,7427,46.7,2566,4907,52.300000000000004,904,2520,35.9,1558,1914,967,3935,1887,1135,9402,2019,True,Knocked Out
Oklahoma City Thunder,3497,7706,45.4,2565,5029,51.0,932,2677,34.8,1461,2049,1031,3942,1917,1145,9387,2019,True,Knocked Out
Toronto Raptors,3460,7305,47.4,2445,4534,53.900000000000006,1015,2771,36.6,1449,1803,786,3706,2085,1150,9384,2019,True,Champion
Sacramento Kings,3541,7637,46.400000000000006,2614,5182,50.4,927,2455,37.8,1354,1865,906,3725,2083,1095,9363,2019,False,Never Qualified
Washington Wizards,3456,7387,46.800000000000004,2526,4656,54.300000000000004,930,2731,34.1,1508,1963,794,3473,2154,1154,9350,2019,False,Never Qualified
Houston Rockets,3218,7163,44.9,1895,3442,55.1,1323,3721,35.6,1582,2001,836,3449,1741,1094,9341,2019,True,Knocked Out
Atlanta Hawks,3392,7524,45.1,2325,4490,51.800000000000004,1067,3034,35.199999999999996,1443,1918,955,3780,2118,1397,9294,2019,False,Never Qualified
Minnesota Timberwolves,3413,7483,45.6,2586,5126,50.4,827,2357,35.099999999999994,1570,1995,923,3673,2018,1074,9223,2019,False,Never Qualified
Boston Celtics,3451,7423,46.5,2419,4594,52.7,1032,2829,36.5,1282,1598,804,3653,2155,1052,9216,2019,True,Knocked Out
Brooklyn Nets,3301,7358,44.9,2254,4393,51.300000000000004,1047,2965,35.3,1555,2088,900,3819,1954,1236,9204,2019,True,Knocked Out
Los Angeles Lakers,3491,7425,47.0,2644,4884,54.1,847,2541,33.300000000000004,1336,1910,835,3820,2096,1284,9165,2019,False,Never Qualified
Utah Jazz,3314,7082,46.800000000000004,2321,4293,54.1,993,2789,35.6,1540,2092,820,3801,2133,1240,9161,2019,True,Knocked Out
San Antonio Spurs,3468,7248,47.8,2656,5177,51.300000000000004,812,2071,39.2,1408,1720,757,3667,2013,992,9156,2019,True,Knocked Out
Charlotte Hornets,3297,7362,44.800000000000004,2320,4579,50.7,977,2783,35.099999999999994,1510,1895,814,3592,1905,1001,9081,2019,False,Never Qualified
Denver Nuggets,3439,7384,46.6,2536,4813,52.7,903,2571,35.099999999999994,1294,1714,972,3804,2245,1102,9075,2019,True,Knocked Out
Dallas Mavericks,3182,7122,44.7,2160,4120,52.400000000000006,1022,3002,34.0,1541,2076,832,3716,1918,1167,8927,2019,False,Never Qualified
Indiana Pacers,3390,7135,47.5,2611,5054,51.7,779,2081,37.4,1298,1727,762,3528,2128,1122,8857,2019,True,Knocked Out
Phoenix Suns,3289,7164,45.9,2499,4764,52.5,790,2400,32.9,1447,1858,748,3311,1957,1279,8815,2019,False,Never Qualified
Orlando Magic,3316,7307,45.4,2379,4674,50.9,937,2633,35.6,1231,1575,822,3724,2095,1082,8800,2019,True,Knocked Out
Detroit Pistons,3185,7238,44.0,2192,4384,50.0,993,2854,34.8,1415,1893,936,3688,1845,1135,8778,2019,True,Knocked Out
Miami Heat,3251,7218,45.0,2323,4560,50.9,928,2658,34.9,1238,1782,921,3800,1991,1208,8668,2019,False,Never Qualified
Chicago Bulls,3266,7205,45.300000000000004,2521,5082,49.6,745,2123,35.099999999999994,1328,1695,718,3517,1796,1159,8605,2019,False,Never Qualified
New York Knicks,3134,7241,43.3,2311,4820,47.9,823,2421,34.0,1484,1956,857,3668,1646,1151,8575,2019,False,Never Qualified
Cleveland Cavaliers,3189,7184,44.4,2342,4796,48.8,847,2388,35.5,1342,1694,879,3498,1698,1106,8567,2019,False,Never Qualified
Memphis Grizzlies,3113,6924,45.0,2302,4556,50.5,811,2368,34.2,1453,1882,723,3426,1963,1147,8490,2019,False,Never Qualified
Dallas Mavericks,3124,6772,46.1,1988,3677,54.1,1136,3095,36.7,1392,1787,791,3520,1849,953,8776,2020,True,Knocked Out
Milwaukee Bucks,3160,6638,47.599999999999994,2153,3798,56.699999999999996,1007,2840,35.5,1336,1800,691,3774,1889,1102,8663,2020,True,Knocked Out
Portland Trail Blazers,3122,6749,46.300000000000004,2170,4224,51.4,952,2525,37.7,1312,1632,754,3353,1525,946,8508,2020,True,Knocked Out
Houston Rockets,2936,6512,45.1,1810,3251,55.7,1126,3261,34.5,1484,1876,704,3188,1557,1057,8482,2020,True,Knocked Out
Los Angeles Clippers,2992,6425,46.6,2097,4015,52.2,895,2410,37.1,1498,1894,767,3431,1708,1051,8377,2020,True,Knocked Out
New Orleans Pelicans,3065,6598,46.5,2083,3942,52.800000000000004,982,2656,37.0,1229,1687,797,3348,1932,1181,8341,2020,False,Never Qualified
Phoenix Suns,3006,6429,46.800000000000004,2175,4109,52.900000000000006,831,2320,35.8,1451,1740,712,3177,1987,1077,8294,2020,False,Never Qualified
Washington Wizards,2990,6544,45.7,2126,4199,50.6,864,2345,36.8,1394,1770,732,3027,1801,1020,8238,2020,False,Never Qualified
Memphis Grizzlies,3106,6634,46.800000000000004,2308,4337,53.2,798,2297,34.699999999999996,1212,1589,754,3397,1965,1113,8222,2020,False,Never Qualified
Boston Celtics,2971,6448,46.1,2066,3961,52.2,905,2487,36.4,1336,1668,768,3317,1655,995,8183,2020,True,Knocked Out
Miami Heat,2880,6160,46.800000000000004,1901,3576,53.2,979,2584,37.9,1440,1840,620,3239,1892,1088,8179,2020,True,Runner-Up
Denver Nuggets,3069,6488,47.3,2268,4254,53.300000000000004,801,2234,35.9,1185,1526,786,3222,1952,1005,8124,2020,True,Knocked Out
Toronto Raptors,2897,6331,45.800000000000004,1902,3668,51.9,995,2663,37.4,1329,1670,685,3268,1816,1067,8118,2020,True,Knocked Out
San Antonio Spurs,2995,6350,47.199999999999996,2235,4329,51.6,760,2021,37.6,1348,1664,640,3170,1751,895,8098,2020,False,Never Qualified
Philadelphia 76ers,3000,6417,46.800000000000004,2152,4110,52.400000000000006,848,2307,36.8,1236,1638,764,3317,1884,1037,8084,2020,True,Knocked Out
Los Angeles Lakers,3006,6269,48.0,2224,4027,55.2,782,2242,34.9,1260,1728,757,3247,1803,1077,8054,2020,True,Champion
Brooklyn Nets,2908,6498,44.800000000000004,1967,3752,52.400000000000006,941,2746,34.300000000000004,1291,1732,766,3449,1761,1099,8048,2020,True,Knocked Out
Utah Jazz,2886,6130,47.099999999999994,1923,3593,53.5,963,2537,38.0,1278,1641,656,3233,1615,1089,8013,2020,True,Knocked Out
Indiana Pacers,3075,6457,47.599999999999994,2332,4411,52.900000000000006,743,2046,36.3,1096,1393,636,3125,1888,967,7989,2020,True,Knocked Out
Oklahoma City Thunder,2879,6156,46.800000000000004,2109,3985,52.900000000000006,770,2171,35.5,1422,1787,593,3088,1562,986,7950,2020,True,Knocked Out
Sacramento Kings,2943,6364,46.2,2029,3853,52.7,914,2511,36.4,1127,1464,695,3067,1713,1043,7927,2020,False,Never Qualified
Orlando Magic,2871,6468,44.4,2064,4114,50.2,807,2354,34.300000000000004,1282,1656,751,3249,1747,937,7831,2020,True,Knocked Out
Atlanta Hawks,2723,6067,44.9,1918,3651,52.5,805,2416,33.300000000000004,1237,1566,661,2898,1605,1086,7488,2020,False,Never Qualified
Minnesota Timberwolves,2586,5865,44.1,1733,3325,52.1,853,2540,33.6,1223,1624,675,2868,1525,981,7248,2020,False,Never Qualified
Detroit Pistons,2595,5658,45.9,1804,3501,51.5,791,2157,36.7,1097,1476,644,2753,1589,1008,7078,2020,False,Never Qualified
New York Knicks,2638,5896,44.7,2007,4024,49.9,631,1872,33.7,1076,1550,795,3069,1456,946,6983,2020,False,Never Qualified
Cleveland Cavaliers,2619,5715,45.800000000000004,1892,3645,51.9,727,2070,35.099999999999994,983,1296,704,2876,1500,1073,6948,2020,False,Never Qualified
Chicago Bulls,2573,5762,44.7,1780,3480,51.1,793,2282,34.8,1006,1332,680,2721,1510,1005,6945,2020,False,Never Qualified
Golden State Warriors,2510,5730,43.8,1832,3698,49.5,678,2032,33.4,1214,1511,647,2785,1663,969,6912,2020,False,Never Qualified
Charlotte Hornets,2425,5586,43.4,1640,3355,48.9,785,2231,35.199999999999996,1052,1406,715,2781,1549,949,6687,2020,False,Never Qualified
Milwaukee Bucks,3221,6610,48.699999999999996,2183,3941,55.400000000000006,1038,2669,38.9,1169,1539,741,3465,1834,995,8649,2021,True,Champion
Brooklyn Nets,3106,6289,49.4,2086,3689,56.49999999999999,1020,2600,39.2,1305,1623,640,3199,1929,975,8537,2021,True,Knocked Out
Washington Wizards,3108,6547,47.5,2375,4459,53.300000000000004,733,2088,35.099999999999994,1449,1884,697,3254,1835,1037,8398,2021,True,Knocked Out
Utah Jazz,2971,6344,46.800000000000004,1766,3246,54.400000000000006,1205,3098,38.9,1235,1546,765,3474,1703,1023,8382,2021,True,Knocked Out
Portland Trail Blazers,2973,6558,45.300000000000004,1841,3619,50.9,1132,2939,38.5,1282,1558,766,3207,1531,799,8360,2021,True,Knocked Out
Indiana Pacers,3115,6567,47.4,2226,4122,54.0,889,2445,36.4,1183,1493,648,3072,1973,975,8302,2021,False,Never Qualified
Phoenix Suns,3118,6357,49.0,2178,3867,56.3,940,2490,37.8,1124,1347,630,3092,1939,902,8300,2021,True,Runner-Up
Denver Nuggets,3114,6422,48.5,2187,3960,55.2,927,2462,37.7,1129,1406,758,3200,1933,972,8284,2021,True,Knocked Out
New Orleans Pelicans,3060,6412,47.699999999999996,2298,4222,54.400000000000006,762,2190,34.8,1369,1878,845,3413,1872,1052,8251,2021,False,Never Qualified
Los Angeles Clippers,3009,6242,48.199999999999996,1982,3744,52.900000000000006,1027,2498,41.099999999999994,1164,1387,678,3179,1756,950,8209,2021,True,Knocked Out
Sacramento Kings,3067,6382,48.1,2193,3982,55.1,874,2400,36.4,1181,1585,674,2981,1836,963,8189,2021,False,Never Qualified
Golden State Warriors,2973,6347,46.800000000000004,1925,3558,54.1,1048,2789,37.6,1193,1520,574,3098,1991,1080,8187,2021,False,Never Qualified
Atlanta Hawks,2937,6281,46.800000000000004,2042,3879,52.6,895,2402,37.3,1417,1745,760,3285,1737,953,8186,2021,True,Knocked Out
Philadelphia 76ers,2981,6257,47.599999999999994,2170,4088,53.1,811,2169,37.4,1409,1836,722,3244,1706,1040,8182,2021,True,Knocked Out
Memphis Grizzlies,3085,6608,46.7,2282,4350,52.5,803,2258,35.6,1184,1536,803,3346,1938,957,8157,2021,True,Knocked Out
Boston Celtics,2985,6401,46.6,2006,3783,53.0,979,2618,37.4,1160,1496,765,3186,1689,1012,8109,2021,True,Knocked Out
Dallas Mavericks,2958,6287,47.0,1964,3543,55.400000000000006,994,2744,36.199999999999996,1186,1524,657,3120,1647,869,8096,2021,True,Knocked Out
Minnesota Timberwolves,2932,6546,44.800000000000004,1988,3840,51.800000000000004,944,2706,34.9,1265,1662,757,3133,1846,1027,8073,2021,False,Never Qualified
Toronto Raptors,2859,6383,44.800000000000004,1818,3552,51.2,1041,2831,36.8,1252,1536,680,2994,1735,952,8011,2021,False,Never Qualified
San Antonio Spurs,3014,6518,46.2,2298,4472,51.4,716,2046,35.0,1254,1584,669,3158,1759,821,7998,2021,False,Never Qualified
Chicago Bulls,3035,6380,47.599999999999994,2131,3934,54.2,904,2446,37.0,995,1258,693,3237,1927,1089,7969,2021,False,Never Qualified
Los Angeles Lakers,2925,6197,47.199999999999996,2129,3949,53.900000000000006,796,2248,35.4,1241,1679,695,3185,1775,1095,7887,2021,True,Knocked Out
Charlotte Hornets,2875,6324,45.5,1890,3658,51.7,985,2666,36.9,1146,1505,762,3151,1933,1069,7881,2021,False,Never Qualified
Houston Rockets,2826,6372,44.4,1834,3449,53.2,992,2923,33.900000000000006,1189,1606,671,3067,1699,1060,7833,2021,False,Never Qualified
Miami Heat,2824,6029,46.800000000000004,1892,3423,55.300000000000004,932,2606,35.8,1201,1520,579,2988,1895,1013,7781,2021,True,Knocked Out
New York Knicks,2839,6225,45.6,1992,4062,49.0,847,2163,39.2,1181,1506,696,3250,1541,932,7706,2021,True,Knocked Out
Detroit Pistons,2783,6162,45.2,1951,3792,51.5,832,2370,35.099999999999994,1278,1683,694,3075,1743,1075,7676,2021,False,Never Qualified
Oklahoma City Thunder,2795,6338,44.1,1938,3809,50.9,857,2529,33.900000000000006,1113,1536,715,3283,1588,1162,7560,2021,False,Never Qualified
Orlando Magic,2754,6423,42.9,1970,4135,47.599999999999994,784,2288,34.300000000000004,1196,1543,747,3272,1571,924,7488,2021,False,Never Qualified
Cleveland Cavaliers,2778,6175,45.0,2058,4034,51.0,720,2141,33.6,1200,1614,751,3078,1716,1114,7476,2021,False,Never Qualified
